rank,company,industry,city,state,zip,website,employees,revenue,CEO
219,GE HealthCare Technologies,Medical Products and Equipment,Chicago,Illinois,60661,gehealthcare.com,"53,000","$ 19,672,000,000",Peter Arduini
220,Automatic Data Processing,Diversified Outsourcing Services,Roseland,New Jersey,7068,adp.com,"64,000","$ 19,203,000,000",Maria Black
221,Cleveland-Cliffs,Metals,Cleveland,Ohio,44114,clevelandcliffs.com,"30,000","$ 19,185,000,000",Lourenco Goncalves
222,Aflac,"Insurance: Life, Health (Stock)",Columbus,Georgia,31999,aflac.com,"12,694","$ 18,927,000,000",Daniel Amos
223,Goodyear Tire & Rubber,Motor Vehicles & Parts,Akron,Ohio,44316,goodyear.com,"68,000","$ 18,878,000,000",Mark Stewart
224,Corebridge Financial,Diversified Financials,Houston,Texas,77019,corebridgefinancial.com,"5,200","$ 18,781,000,000",Kevin Hogan
225,Newmont,"Mining, Crude-Oil Production",Denver,Colorado,80237,newmont.com,"22,200","$ 18,682,000,000",Thomas Palmer
226,International Paper,"Packaging, Containers",Memphis,Tennessee,38197,internationalpaper.com,"37,000","$ 18,619,000,000",Andrew Silvernail
227,AutoZone,Specialty Retailers: Other,Memphis,Tennessee,38103,autozone.com,"100,800","$ 18,490,000,000",Philip Daniele III
228,Lincoln National,"Insurance: Life, Health (Stock)",Radnor,Pennsylvania,19087,lincolnfinancial.com,"9,783","$ 18,442,000,000",Ellen Cooper
229,Pulte,Homebuilders,Atlanta,Georgia,30326,pultegroupinc.com,"6,793","$ 17,947,000,000",Ryan Marshall
230,Ameriprise Financial,Diversified Financials,Minneapolis,Minnesota,55474,ameriprise.com,"13,600","$ 17,926,000,000",James Cracchiolo
231,Murphy USA,Specialty Retailers: Other,El Dorado,Arkansas,71730,murphyusa.com,"11,550","$ 17,909,000,000",Andrew Clyde
232,Manpower,Diversified Outsourcing Services,Milwaukee,Wisconsin,53212,manpowergroup.com,"26,700","$ 17,854,000,000",Jonas Prising
233,C.H. Robinson Worldwide,Transportation and Logistics,Eden Prairie,Minnesota,55347,chrobinson.com,"13,781","$ 17,725,000,000",David Bozeman
234,PPG Industries,Chemicals,Pittsburgh,Pennsylvania,15272,ppg.com,"46,000","$ 17,723,000,000",Timothy Knavish
235,Edison International,Utilities: Gas and Electric,Rosemead,California,91770,edisoninvestor.com,"14,013","$ 17,599,000,000",Pedro Pizarro
236,Steel Dynamics,Metals,Fort Wayne,Indiana,46804,steeldynamics.com,"13,000","$ 17,540,000,000",Mark Millett
237,Loews,Insurance: Property and Casualty (Stock),New York,New York,10019,loews.com,"13,000","$ 17,510,000,000",Benjamin Tisch
238,Emerson Electric,Industrial Machinery,St. Louis,Missouri,63136,emerson.com,"73,000","$ 17,492,000,000",Karsanbhai
239,Aramark,Diversified Outsourcing Services,Philadelphia,Pennsylvania,19103,aramark.com,"266,680","$ 17,401,000,000",John Zillmer
240,MGM Resorts International,"Hotels, Casinos, Resorts",Las Vegas,Nevada,89109,mgmresorts.com,"69,000","$ 17,241,000,000",William Hornbuckle
241,Vistra,Energy,Irving,Texas,75039,vistracorp.com,"6,850","$ 17,224,000,000",James Burke
242,Asbury Automotive,"Automotive Retailing, Services",Duluth,Georgia,30097,asburyauto.com,"15,000","$ 17,189,000,000",David Hult
243,W.W. Grainger,Wholesalers: Diversified,Lake Forest,Illinois,60045,grainger.com,"25,000","$ 17,168,000,000",Macpherson
244,Global Partners,Energy,Waltham,Massachusetts,2453,globalp.com,"3,833","$ 17,164,000,000",Eric Slifka
245,Jacobs Solutions,Diversified Outsourcing Services,Dallas,Texas,75201,jacobs.com,"44,050","$ 16,974,000,000",Bob Pragada
246,Corteva,Food Production,Indianapolis,Indiana,46268,corteva.com,"22,000","$ 16,908,000,000",Charles Magro
247,Peter Kiewit Sons',Engineering & Construction,Omaha,Nebraska,68102,kiewit.com,"31,800","$ 16,838,000,000",Rick Lanoha
248,Boston Scientific,Medical Products and Equipment,Marlborough,Massachusetts,1752,bostonscientific.com,"53,000","$ 16,747,000,000",Michael Mahoney
249,O'Reilly Automotive,Specialty Retailers: Other,Springfield,Missouri,65802,oreillyauto.com,"85,579","$ 16,709,000,000",Brad Beckham
250,Leidos s,Information Technology Services,Reston,Virginia,20190,leidos.com,"48,000","$ 16,662,000,000",Thomas Bell
251,Markel,Insurance: Property and Casualty (Stock),Glen Allen,Virginia,23060,mklgroup.com,"22,000","$ 16,621,000,000",Thomas Gayner
252,Whirlpool,"Electronics, Electrical Equip.",Benton Harbor,Michigan,49022,whirlpoolcorp.com,"44,000","$ 16,607,000,000",Marc Bitzer
253,Guardian Life,"Insurance: Life, Health (Mutual)",New York,New York,10001,guardianlife.com,"7,472","$ 16,471,000,000",Andrew McMahon
254,Builders FirstSource,"Building Materials, Glass",Irving,Texas,75039,bldr.com,"29,000","$ 16,401,000,000",Peter Jackson
255,Ally Financial,Diversified Financials,Detroit,Michigan,48226,ally.com,"10,700","$ 16,389,000,000",Michael Rhodes
256,Targa Resources,Pipelines,Houston,Texas,77002,targaresources.com,"3,370","$ 16,382,000,000",Matthew Meloy
257,Fluor,Engineering & Construction,Irving,Texas,75039,fluor.com,"26,866","$ 16,315,000,000",James Breuer
258,Intuit,Computer Software,Mountain View,California,94043,intuit.com,"24,200","$ 16,285,000,000",Sasan Goodarzi
259,AECOM,Engineering & Construction,Dallas,Texas,75240,aecom.com,"51,000","$ 16,284,000,000",Troy Rudd
260,Edward Jones,Securities,Des Peres,Missouri,63131,edwardjones.com,"55,000","$ 16,257,000,000",Penny Pennington
261,Kohl's,General Merchandisers,Menomonee Falls,Wisconsin,53051,kohls.com,"60,000","$ 16,221,000,000",Michael Bender
262,Land O'Lakes,Food Consumer Products,Arden Hills,Minnesota,55126,landolakesinc.com,"9,000","$ 16,207,000,000",Beth Ford
263,Principal Financial,"Insurance: Life, Health (Stock)",Des Moines,Iowa,50392,principal.com,"19,700","$ 16,128,000,000",Deanna Strable-Soethout
264,Dominion Energy,Utilities: Gas and Electric,Richmond,Virginia,23219,dominionenergy.com,"14,700","$ 16,070,000,000",Robert Blue
265,Kyndryl s,Information Technology Services,New York,New York,10017,kyndryl.com,"80,000","$ 16,052,000,000",Martin Schroeter
266,Republic Services,Waste Management,Phoenix,Arizona,85054,republicservices.com,"42,000","$ 16,032,000,000",Jon Vander Ark
267,Devon Energy,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,73102,devonenergy.com,"2,300","$ 15,940,000,000",Clay Gaspar
268,Illinois Tool Works,Industrial Machinery,Glenview,Illinois,60025,itw.com,"44,000","$ 15,898,000,000",Christopher O'Herlihy
269,Northern Trust,Commercial Banks,Chicago,Illinois,60603,northerntrust.com,"23,300","$ 15,876,000,000",Michael O'Grady
270,Auto-Owners Insurance,Insurance: Property and Casualty (Mutual),Lansing,Michigan,48917,auto-owners.com,"7,329","$ 15,839,000,000",Jamie Whisnant
271,Universal Health Services,Health Care: Medical Facilities,King of Prussia,Pennsylvania,19406,uhs.com,"87,500","$ 15,828,000,000",Marc Miller
272,Pacific Life,"Insurance: Life, Health (Stock)",Newport Beach,California,92660,pacificlife.com,"4,334","$ 15,827,000,000",Darryl Button
273,EchoStar,Telecommunications,Englewood,Colorado,80112,echostar.com,"13,700","$ 15,826,000,000",Hamid Akhavan
274,Ecolab,Chemicals,St. Paul,Minnesota,55102,ecolab.com,"48,000","$ 15,741,000,000",Christophe Beck
275,Cheniere Energy,Pipelines,Houston,Texas,77002,cheniere.com,"1,714","$ 15,703,000,000",Jack Fusco
276,Omnicom,"Advertising, Marketing",New York,New York,10017,omnicomgroup.com,"74,900","$ 15,689,000,000",John Wren
277,Texas Instruments,Semiconductors and Other Electronic Components,Dallas,Texas,75243,ti.com,"34,000","$ 15,641,000,000",Haviv Ilan
278,United States Steel,Metals,Pittsburgh,Pennsylvania,15219,ussteel.com,"22,053","$ 15,640,000,000",David Burritt
279,Estée Lauder,Household and Personal Products,New York,New York,10153,elcompanies.com,"53,010","$ 15,608,000,000",Stéphane de La Faverie
280,Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),Woodland Hills,California,91367,farmers.com,"9,909","$ 15,456,000,000",Raul Nicholas Vargas Ochoa
281,Kenvue,Household and Personal Products,Summit,New Jersey,7901,kenvue.com,"22,000","$ 15,455,000,000",Thibaut Mongon
282,IQVIA s,Health Care: Pharmacy and Other Services,Durham,North Carolina,27703,iqvia.com,"88,000","$ 15,405,000,000",Ari Bousbib
283,Stanley Black & Decker,Industrial Machinery,New Britain,Connecticut,6053,stanleyblackanddecker.com,"48,500","$ 15,366,000,000",Donald Allan Jr.
284,Keurig Dr Pepper,Beverages,Burlington,Massachusetts,1803,keurigdrpepper.com,"29,400","$ 15,351,000,000",Timothy Cofer
285,United Rentals,Specialty Retailers: Other,Stamford,Connecticut,6902,unitedrentals.com,"27,900","$ 15,345,000,000",Matthew Flannery
286,Consolidated Edison,Utilities: Gas and Electric,New York,New York,10003,conedison.com,"15,097","$ 15,256,000,000",Timothy Cawley
287,Amphenol,Network and Other Communications Equipment,Wallingford,Connecticut,6492,amphenol.com,"125,000","$ 15,223,000,000",Adam Norwitt
288,Baxter International,Medical Products and Equipment,Deerfield,Illinois,60015,baxter.com,"38,000","$ 15,149,000,000",Brent Shafer
289,Kinder Morgan,Pipelines,Houston,Texas,77002,kindermorgan.com,"10,933","$ 15,100,000,000",Kimberly Dang
290,Gap,Specialty Retailers: Apparel,San Francisco,California,94105,gapinc.com,"82,000","$ 15,086,000,000",Richard Dickson
291,Nordstrom,General Merchandisers,Seattle,Washington,98101,nordstrom.com,"41,000","$ 15,016,000,000",Erik Nordstrom
292,Super Micro Computer,"Computers, Office Equipment",San Jose,California,95131,supermicro.com,"5,684","$ 14,989,000,000",Charles Liang
293,First Citizens BancShares,Commercial Banks,Raleigh,North Carolina,27609,firstcitizens.com,"17,333","$ 14,968,000,000",Frank Holding Jr.
294,Raymond James Financial,Securities,St. Petersburg,Florida,33716,raymondjames.com,"19,000","$ 14,923,000,000",Paul Shoukry
295,Lam Research,Semiconductors and Other Electronic Components,Fremont,California,94538,lamresearch.com,"17,450","$ 14,905,000,000",Timothy Archer
296,Tractor Supply,Specialty Retailers: Other,Brentwood,Tennessee,37027,tractorsupply.com,"39,000","$ 14,883,000,000",Harry Lawton III
297,Casey's General Stores,Specialty Retailers: Other,Ankeny,Iowa,50021,caseys.com,"33,147","$ 14,863,000,000",Darren Rebelez
298,Viatris,Pharmaceuticals,Canonsburg,Pennsylvania,15317,viatris.com,"32,000","$ 14,739,000,000",Scott Smith
299,Mutual of Omaha Insurance,"Insurance: Life, Health (Mutual)",Omaha,Nebraska,68175,mutualofomaha.com,"6,532","$ 14,622,000,000",James Blackledge
300,EMCOR,Engineering & Construction,Norwalk,Connecticut,6851,emcorgroup.com,"40,400","$ 14,566,000,000",Anthony Guzzi
301,CSX,Railroads,Jacksonville,Florida,32202,csx.com,"23,536","$ 14,540,000,000",Joseph Hinrichs
302,LKQ,Wholesalers: Diversified,Antioch,Tennessee,37013,lkqcorp.com,"47,000","$ 14,355,000,000",Justin Jude
303,Otis Worldwide,Industrial Machinery,Farmington,Connecticut,6032,otis.com,"72,000","$ 14,261,000,000",Judith Marks
304,Sonic Automotive,"Automotive Retailing, Services",Charlotte,North Carolina,28211,sonicautomotive.com,"10,800","$ 14,224,000,000",David Bruton Smith
305,S&P Global,Financial Data Services,New York,New York,10041,spglobal.com,"42,350","$ 14,208,000,000",Martina Cheung
306,Regeneron Pharmaceuticals,Pharmaceuticals,Tarrytown,New York,10591,regeneron.com,"15,106","$ 14,202,000,000",Leonard Schleifer
307,BorgWarner,Motor Vehicles & Parts,Auburn Hills,Michigan,48326,borgwarner.com,"38,300","$ 14,086,000,000",Joseph Fadool
308,Fox,Entertainment,New York,New York,10036,foxcorporation.com,"10,200","$ 13,980,000,000",Lachlan Murdoch
309,Reliance,Metals,Scottsdale,Arizona,85254,reliance.com,"16,050","$ 13,835,000,000",Karla Lewis
310,Western & Southern Financial,"Insurance: Life, Health (Mutual)",Cincinnati,Ohio,45202,westernsouthern.com,"2,744","$ 13,769,000,000",John Barrett
311,Textron,Aerospace & Defense,Providence,Rhode Island,2903,textron.com,"34,000","$ 13,702,000,000",Scott Donnelly
312,Expedia,Internet Services and Retailing,Seattle,Washington,98119,expediagroup.com,"16,500","$ 13,691,000,000",Ariane Gorin
313,Fidelity National Financial,Insurance: Property and Casualty (Stock),Jacksonville,Florida,32204,fnf.com,"23,533","$ 13,681,000,000",Michael Nolan
314,Carvana,"Automotive Retailing, Services",Tempe,Arizona,85281,carvana.com,"17,400","$ 13,673,000,000",Ernest Garcia III
315,DXC Technology,Information Technology Services,Ashburn,Virginia,20147,dxc.technology,"130,000","$ 13,667,000,000",Raul Fernandez
316,W.R. Berkley,Insurance: Property and Casualty (Stock),Greenwich,Connecticut,6830,berkley.com,"8,606","$ 13,639,000,000",Robert Berkley Jr.
317,M&T Bank,Commercial Banks,Buffalo,New York,14203,mtb.com,"22,101","$ 13,453,000,000",René Jones
318,Dick's Sporting Goods,Specialty Retailers: Other,Coraopolis,Pennsylvania,15108,dickssportinggoods.com,"37,350","$ 13,443,000,000",Lauren Hobart
319,Xcel Energy,Utilities: Gas and Electric,Minneapolis,Minnesota,55401,xcelenergy.com,"11,380","$ 13,441,000,000",Robert Frenzel
320,Fifth Third Bancorp,Commercial Banks,Cincinnati,Ohio,45263,53.com,"18,616","$ 13,275,000,000",Timothy Spence
321,Blackstone,Diversified Financials,New York,New York,10154,blackstone.com,"4,895","$ 13,230,000,000",Stephen Schwarzman
322,Sempra,Utilities: Gas and Electric,San Diego,California,92101,sempra.com,"16,773","$ 13,185,000,000",Walker Martin
323,Erie Insurance,Insurance: Property and Casualty (Mutual),Erie,Pennsylvania,16530,erieinsurance.com,"6,747","$ 13,177,000,000",Timothy NeCastro
324,Corning,"Electronics, Electrical Equip.",Corning,New York,14831,corning.com,"56,300","$ 13,118,000,000",Wendell Weeks
325,Lumen Technologies,Telecommunications,Monroe,Louisiana,71203,lumen.com,"25,000","$ 13,108,000,000",Kathleen Johnson
326,FirstEnergy,Utilities: Gas and Electric,Akron,Ohio,44308,firstenergycorp.com,"12,294","$ 13,043,000,000",Brian Tierney
327,Hess,"Mining, Crude-Oil Production",New York,New York,10036,hess.com,"1,797","$ 13,018,000,000",John Hess
328,Labcorp s,Health Care: Pharmacy and Other Services,Burlington,North Carolina,27215,labcorp.com,"65,450","$ 13,009,000,000",Adam Schechter
329,Western Digital,"Computers, Office Equipment",San Jose,California,95119,westerndigital.com,"51,000","$ 13,003,000,000",Tiang Yew Tan
330,Unum,"Insurance: Life, Health (Stock)",Chattanooga,Tennessee,37402,unum.com,"10,948","$ 12,887,000,000",Richard McKenney
331,DaVita,Health Care: Medical Facilities,Denver,Colorado,80202,davita.com,"76,000","$ 12,816,000,000",Javier Rodriguez
332,Kellanova,Food Consumer Products,Chicago,Illinois,60654,kellanova.com,"24,000","$ 12,749,000,000",Steven Cahillane
333,Henry Schein,Wholesalers: Health Care,Melville,New York,11747,henryschein.com,"25,000","$ 12,673,000,000",Stanley Bergman
334,Ryder System,Transportation and Logistics,Coral Gables,Florida,33134,ryder.com,"50,700","$ 12,636,000,000",Robert Sanchez
335,Community Health Systems,Health Care: Medical Facilities,Franklin,Tennessee,37067,chs.net,"52,500","$ 12,634,000,000",Kevin Hammons
336,Delek US,Petroleum Refining,Brentwood,Tennessee,37027,delekus.com,"1,987","$ 12,464,000,000",Avigal Soreq
337,DTE Energy,Utilities: Gas and Electric,Detroit,Michigan,48226,dteenergy.com,"9,500","$ 12,457,000,000",Gerardo Norcia
338,Equitable,"Insurance: Life, Health (Stock)",New York,New York,10105,equitableholdings.com,"10,300","$ 12,437,000,000",Mark Pearson
339,DuPont,Chemicals,Wilmington,Delaware,19805,dupont.com,"24,000","$ 12,386,000,000",Lori Koch
340,LPL Financial s,Securities,San Diego,California,92121,lpl.com,"9,000","$ 12,385,000,000",Rich Steinmeier
341,Citizens Financial,Commercial Banks,Providence,Rhode Island,2903,citizensbank.com,"17,287","$ 12,362,000,000",Bruce Van Saun
342,MasTec,Engineering & Construction,Coral Gables,Florida,33134,mastec.com,"32,000","$ 12,304,000,000",José Mas
343,AES,Utilities: Gas and Electric,Arlington,Virginia,22203,aes.com,"9,100","$ 12,278,000,000",Andrés Gluski
344,Berry Global,"Packaging, Containers",Evansville,Indiana,47710,berryglobal.com,"42,000","$ 12,258,000,000",Kevin Kwilinski
345,Westlake,Chemicals,Houston,Texas,77056,westlake.com,"15,540","$ 12,142,000,000",Jean-Marc Gilson
346,Norfolk Southern,Railroads,Atlanta,Georgia,30308,norfolksouthern.com,"19,600","$ 12,123,000,000",Mark George
347,Air Products & Chemicals,Chemicals,Allentown,Pennsylvania,18106,airproducts.com,"22,425","$ 12,101,000,000",Eduardo Menezes
348,J.B. Hunt Transport Services,"Trucking, Truck Leasing",Lowell,Arkansas,72745,jbhunt.com,"33,646","$ 12,087,000,000",Shelley Simpson
349,Ball,"Packaging, Containers",Westminster,Colorado,80021,ball.com,"16,000","$ 12,056,000,000",Daniel Fisher
350,Conagra Brands,Food Consumer Products,Chicago,Illinois,60654,conagrabrands.com,"18,500","$ 12,051,000,000",Sean Connolly
351,Huntington Bancshares,Commercial Banks,Columbus,Ohio,43287,huntington.com,"19,932","$ 11,961,000,000",Stephen Steinour
352,Hormel Foods,Food Consumer Products,Austin,Minnesota,55912,hormelfoods.com,"20,000","$ 11,921,000,000",James Snee
353,Eversource Energy,Utilities: Gas and Electric,Springfield,Massachusetts,1104,eversource.com,"10,680","$ 11,901,000,000",Joseph Nolan Jr.
354,Alcoa,Metals,Pittsburgh,Pennsylvania,15212,alcoa.com,"13,900","$ 11,895,000,000",William Oplinger
355,Entergy,Utilities: Gas and Electric,New Orleans,Louisiana,70113,entergy.com,"12,267","$ 11,880,000,000",Andrew Marsh
356,Assurant,Insurance: Property and Casualty (Stock),Atlanta,Georgia,30339,assurant.com,"14,200","$ 11,878,000,000",Keith Demmings
357,Chewy,Internet Services and Retailing,Plantation,Florida,33322,chewy.com,"18,000","$ 11,861,000,000",Sumit Singh
358,Wayfair,Internet Services and Retailing,Boston,Massachusetts,2116,wayfair.com,"12,100","$ 11,851,000,000",Niraj Shah
359,Crown s,"Packaging, Containers",Tampa,Florida,33637,crowncork.com,"23,000","$ 11,801,000,000",Timothy Donahue
360,Avis Budget,"Automotive Retailing, Services",Parsippany,New Jersey,7054,avisbudgetgroup.com,"20,500","$ 11,789,000,000",Joseph Ferraro
361,Intercontinental Exchange,Securities,Atlanta,Georgia,30328,ice.com,"12,920","$ 11,761,000,000",Jeffrey Sprecher
362,Alaska Air,Airlines,Seattle,Washington,98188,alaskaair.com,"32,074","$ 11,735,000,000",Benito Minicucci
363,GXO Logistics,Transportation and Logistics,Greenwich,Connecticut,6831,gxo.com,"128,500","$ 11,709,000,000",Malcolm Wilson
364,AGCO,Construction and Farm Machinery,Duluth,Georgia,30096,agcocorp.com,"24,000","$ 11,662,000,000",Eric Hansotia
365,Graybar Electric,Wholesalers: Diversified,St. Louis,Missouri,63105,graybar.com,"10,000","$ 11,646,000,000",Kathleen Mazzarella
366,Molson Coors Beverage,Beverages,Chicago,Illinois,60606,molsoncoors.com,"16,800","$ 11,627,000,000",Gavin Hattersley
367,Arthur J. Gallagher,Diversified Financials,Rolling Meadows,Illinois,60008,ajg.com,"55,977","$ 11,555,000,000",Patrick Gallagher Jr.
368,Huntington Ingalls Industries,Aerospace & Defense,Newport News,Virginia,23607,hii.com,"44,000","$ 11,535,000,000",Christopher Kastner
369,International Flavors & Fragrances,Chemicals,New York,New York,10019,iff.com,"22,400","$ 11,484,000,000",Erik Fyrwald
370,Darden Restaurants,Food Services,Orlando,Florida,32837,darden.com,"191,105","$ 11,390,000,000",Ricardo Cardenas
371,Cincinnati Financial,Insurance: Property and Casualty (Stock),Fairfield,Ohio,45014,cinfin.com,"5,624","$ 11,338,000,000",Stephen Spray
372,Chipotle Mexican Grill,Food Services,Newport Beach,California,92660,chipotle.com,"130,504","$ 11,314,000,000",Scott Boatwright
373,Yum China s,Food Services,Plano,Texas,75074,yumchina.com,"245,500","$ 11,303,000,000",Joey Wat
374,Las Vegas Sands,"Hotels, Casinos, Resorts",Las Vegas,Nevada,89113,sands.com,"40,100","$ 11,298,000,000",Robert Goldstein
375,Ulta Beauty,Specialty Retailers: Other,Bolingbrook,Illinois,60440,ulta.com,"39,000","$ 11,296,000,000",Kecia Steelman
376,Caesars Entertainment,"Hotels, Casinos, Resorts",Reno,Nevada,89501,caesars.com,"50,000","$ 11,270,000,000",Thomas Reeg
377,BrightSpring Health Services,Health Care: Pharmacy and Other Services,Louisville,Kentucky,40222,brightspringhealth.com,"37,000","$ 11,267,000,000",Jon Rousseau
378,Andersons,Food Production,Maumee,Ohio,43537,andersonsinc.com,"2,262","$ 11,258,000,000",William Krueger
379,Hershey,Food Consumer Products,Hershey,Pennsylvania,17033,thehersheycompany.com,"19,285","$ 11,202,000,000",Michele Buck
380,Hilton,"Hotels, Casinos, Resorts",McLean,Virginia,22102,hilton.com,"181,000","$ 11,174,000,000",Christopher Nassetta
381,Mosaic,Chemicals,Tampa,Florida,33602,mosaicco.com,"13,765","$ 11,123,000,000",Bruce Bodine
382,Airbnb,Internet Services and Retailing,San Francisco,California,94103,airbnb.com,"7,300","$ 11,102,000,000",Brian Chesky
383,Diamondback Energy,"Mining, Crude-Oil Production",Midland,Texas,79701,diamondbackenergy.com,"1,983","$ 11,066,000,000",Kaes Van’t Hof
384,American Tower,Real Estate,Boston,Massachusetts,2116,americantower.com,"4,691","$ 11,038,000,000",Steven Vondran
385,Vertex Pharmaceuticals,Pharmaceuticals,Boston,Massachusetts,2210,vrtx.com,"6,100","$ 11,020,000,000",Reshma Kewalramani
386,ServiceNow,Computer Software,Santa Clara,California,95054,servicenow.com,"26,293","$ 10,984,000,000",William McDermott
387,Owens Corning,"Building Materials, Glass",Toledo,Ohio,43659,owenscorning.com,"25,000","$ 10,975,000,000",Brian Chambers
388,Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)",Minneapolis,Minnesota,55415,thrivent.com,"3,983","$ 10,918,000,000",Teresa Rasmussen
389,Advance Auto Parts,Specialty Retailers: Other,Raleigh,North Carolina,27609,advanceautoparts.com,"48,000","$ 10,891,000,000",Shane O'Kelly
390,Toll Brothers,Homebuilders,Fort Washington,Pennsylvania,19034,tollbrothers.com,"4,900","$ 10,847,000,000",Douglas Yearley Jr.
391,Mohawk Industries,"Home Equipment, Furnishings",Calhoun,Georgia,30701,mohawkind.com,"41,900","$ 10,837,000,000",Jeffrey Lorberbaum
392,Motorola Solutions,Network and Other Communications Equipment,Chicago,Illinois,60661,motorolasolutions.com,"21,000","$ 10,817,000,000",Gregory Brown
393,Oshkosh,Construction and Farm Machinery,Oshkosh,Wisconsin,54902,oshkoshcorp.com,"18,500","$ 10,730,000,000",John Pfeifer
394,DoorDash,Internet Services and Retailing,San Francisco,California,94107,doordash.com,"23,700","$ 10,722,000,000",Tony Xu
395,Owens & Minor,Wholesalers: Health Care,Glen Allen,Virginia,23060,owens-minor.com,"23,200","$ 10,701,000,000",Edward Pesicka
396,NVR,Homebuilders,Reston,Virginia,20190,nvrinc.com,"7,000","$ 10,693,000,000",Eugene Bredow
397,Interpublic,"Advertising, Marketing",New York,New York,10022,interpublic.com,"53,300","$ 10,692,000,000",Philippe Krakowsky
398,Booz Allen Hamilton,Information Technology Services,McLean,Virginia,22102,boozallen.com,"34,200","$ 10,662,000,000",Horacio Rozanski
399,Burlington Stores,Specialty Retailers: Apparel,Burlington,New Jersey,8016,burlingtoninvestors.com,"47,295","$ 10,635,000,000",Michael O’Sullivan
400,Expeditors International of Washington,Transportation and Logistics,Bellevue,Washington,98006,expeditors.com,"18,917","$ 10,601,000,000",Daniel Wall
401,Lululemon athletica,Specialty Retailers: Apparel,Sumner,Washington,98390,lululemon.com,"39,000","$ 10,588,000,000",Calvin McDonald
402,Fidelity National Information,Financial Data Services,Jacksonville,Florida,32202,fisglobal.com,"50,000","$ 10,540,000,000",Stephanie Ferris
403,Jefferies Financial,Diversified Financials,New York,New York,10022,jefferies.com,"7,822","$ 10,515,000,000",Richard Handler
404,Williams,Pipelines,Tulsa,Oklahoma,74172,williams.com,"5,829","$ 10,503,000,000",Alan Armstrong
405,VF,Apparel,Denver,Colorado,80202,vfc.com,"24,000","$ 10,455,000,000",Bracken Darrell
406,FM,Insurance: Property and Casualty (Stock),Johnston,Rhode Island,2919,fm.com,"5,845","$ 10,414,000,000",Malcolm Roberts
407,Autoliv,Motor Vehicles & Parts,Auburn Hills,Michigan,48326,autoliv.com,"62,266","$ 10,390,000,000",Mikael Bratt
408,Westinghouse Air Brake Technologies,Industrial Machinery,Pittsburgh,Pennsylvania,15212,wabteccorp.com,"29,500","$ 10,387,000,000",Rafael Santana
409,Public Service Enterprise,Utilities: Gas and Electric,Newark,New Jersey,7102,pseg.com,"13,047","$ 10,290,000,000",Ralph LaRossa
410,Dana,Motor Vehicles & Parts,Maumee,Ohio,43537,dana.com,"39,600","$ 10,284,000,000",Bruce McDonald
411,Ebay,Internet Services and Retailing,San Jose,California,95125,ebay.com,"11,500","$ 10,283,000,000",Jamie Iannone
412,Celanese,Chemicals,Irving,Texas,75039,celanese.com,"12,163","$ 10,280,000,000",Scott Richardson
413,Global Payments,Financial Data Services,Atlanta,Georgia,30326,globalpaymentsinc.com,"27,000","$ 10,106,000,000",Cameron Bready
414,News Corp.,"Publishing, Printing",New York,New York,10036,newscorp.com,"23,900","$ 10,085,000,000",Robert Thomson
415,THOR Industries,Motor Vehicles & Parts,Elkhart,Indiana,46514,thorindustries.com,"22,300","$ 10,043,000,000",Robert Martin
416,QVC,Internet Services and Retailing,Englewood,Colorado,80112,qvcgrp.com,"18,984","$ 10,037,000,000",David Rawlinson II
417,Icahn Enterprises,Diversified Financials,Sunny Isles Beach,Florida,33160,ielp.com,"15,037","$ 10,020,000,000",Andrew Teno
418,Constellation Brands,Beverages,Victor,New York,14564,cbrands.com,"9,300","$ 9,962,000,000",William Newlands
419,Quest Diagnostics,Health Care: Pharmacy and Other Services,Secaucus,New Jersey,7094,questdiagnostics.com,"50,500","$ 9,872,000,000",James Davis
420,KLA,Semiconductors and Other Electronic Components,Milpitas,California,95035,kla.com,"15,115","$ 9,812,000,000",Richard Wallace
421,QXO Building Products,Wholesalers: Diversified,Herndon,Virginia,20170,qxo.com,"8,068","$ 9,763,000,000",Julian Francis
422,APA,"Mining, Crude-Oil Production",Houston,Texas,77042,apacorp.com,"2,305","$ 9,737,000,000",John Christmann IV
423,A-Mark Precious Metals,Wholesalers: Diversified,El Segundo,California,90245,amark.com,486,"$ 9,699,000,000",Gregory Roberts
424,Biogen,Pharmaceuticals,Cambridge,Massachusetts,2142,biogen.com,"7,605","$ 9,676,000,000",Christopher Viehbacher
425,Campbell's,Food Consumer Products,Camden,New Jersey,8103,thecampbellscompany.com,"14,400","$ 9,636,000,000",Mick Beekhuizen
426,Concentrix,Information Technology Services,Newark,California,94560,concentrix.com,"450,000","$ 9,619,000,000",Christopher Caldwell
427,Cintas,Diversified Outsourcing Services,Cincinnati,Ohio,45262,cintas.com,"46,500","$ 9,597,000,000",Todd Schneider
428,SpartanNash,Wholesalers: Food and Grocery,Byron Center,Michigan,49315,spartannash.com,"15,000","$ 9,549,000,000",Tony Sarsam
429,Ace Hardware,Wholesalers: Diversified,Oak Brook,Illinois,60523,acehardware.com,"12,500","$ 9,491,000,000",John Venhuizen
430,Analog Devices,Semiconductors and Other Electronic Components,Wilmington,Massachusetts,1887,analog.com,"24,000","$ 9,427,000,000",Vincent Roche
